session_id,customer_id,session_date,traffic_source,device,country,landing_page,pages_viewed,session_duration_sec,is_bounce,is_converted
SESS0000047,CUST01236,2024-07-25,paid_search,desktop,UK,/case-studies,6,640,False,False
SESS0000048,CUST00795,2026-01-24,email,desktop,NL,/home,13,1007,False,False
SESS0000049,CUST00890,2025-05-02,referral,desktop,US,/demo,6,759,False,False
SESS0000050,,2025-10-05,referral,mobile,SE,/demo,11,1390,False,False
SESS0000051,,2025-05-09,email,desktop,SE,/features,3,176,False,False
SESS0000052,CUST00510,2024-07-19,direct,desktop,US,/demo,2,1406,False,False
SESS0000053,,2026-02-06,email,desktop,SE,/contact,12,1056,False,False
SESS0000054,CUST01200,2026-04-12,organic,mobile,US,/home,12,523,False,False
SESS0000055,CUST00805,2024-06-16,organic,desktop,CA,/features,10,372,False,False
SESS0000056,CUST01278,2025-09-09,paid_social,desktop,DE,/pricing,3,1556,False,False
SESS0000057,,2026-03-26,referral,desktop,US,/home,7,1242,False,False
SESS0000058,CUST00943,2025-03-19,referral,desktop,SE,/features,10,356,False,False
SESS0000059,CUST01380,2025-06-21,referral,mobile,CA,/home,3,1268,False,False
SESS0000060,,2026-04-11,organic,mobile,FR,/case-studies,1,395,False,False
SESS0000061,,2025-12-12,paid_search,desktop,FR,/home,5,1333,False,False
SESS0000062,CUST00045,2025-11-26,organic,desktop,DE,/contact,12,308,False,False
SESS0000063,CUST00921,2024-05-18,direct,desktop,CA,/demo,14,998,False,False
SESS0000064,CUST00211,2024-07-26,referral,mobile,NL,/blog,14,109,False,False
SESS0000065,CUST01136,2025-07-21,paid_social,desktop,NL,/blog,9,1190,False,False
SESS0000066,CUST01000,2026-03-12,paid_search,mobile,US,/blog,10,1257,False,False
SESS0000067,,2025-12-06,referral,desktop,SE,/home,8,135,False,False
SESS0000068,CUST01429,2025-10-06,email,desktop,CA,/contact,4,1328,False,False
SESS0000069,,2026-03-10,paid_search,mobile,AU,/demo,14,902,False,False
SESS0000070,CUST00601,2025-05-04,referral,mobile,NL,/case-studies,11,1350,False,False
SESS0000071,CUST00332,2025-08-25,direct,desktop,UK,/contact,8,742,False,False
SESS0000072,,2024-12-08,email,desktop,NL,/blog,5,413,False,False
SESS0000073,,2024-12-02,organic,desktop,CA,/features,11,1145,False,False
SESS0000074,CUST01032,2025-12-19,organic,mobile,AU,/blog,2,1700,False,False
SESS0000075,CUST00997,2025-08-11,paid_social,tablet,AU,/case-studies,1,252,False,False
SESS0000076,,2024-11-16,paid_search,mobile,UK,/contact,1,1145,False,False
SESS0000077,CUST00228,2026-03-02,organic,mobile,UK,/case-studies,9,901,False,True
SESS0000078,,2024-05-09,organic,mobile,AU,/pricing,12,220,False,False
SESS0000079,CUST01021,2024-12-02,referral,mobile,DE,/contact,6,909,False,False
SESS0000080,,2024-06-30,paid_search,desktop,NL,/case-studies,13,287,False,True
SESS0000081,CUST00700,2025-03-11,paid_social,mobile,UK,/features,6,1714,False,False
SESS0000082,CUST01362,2025-08-31,paid_search,desktop,NL,/case-studies,4,854,False,False
SESS0000083,CUST00839,2025-08-25,email,tablet,AU,/home,8,883,False,False
SESS0000084,CUST01060,2024-09-26,organic,desktop,AU,/blog,13,25,True,False
SESS0000085,CUST00076,2025-03-07,referral,tablet,DE,/demo,1,130,False,False
SESS0000086,CUST01065,2026-03-26,paid_social,desktop,CA,/contact,12,1465,False,False
SESS0000087,,2026-04-19,paid_social,tablet,DE,/contact,7,709,False,False
SESS0000088,CUST01279,2026-02-21,direct,mobile,AU,/case-studies,13,425,False,False
SESS0000089,,2024-06-20,paid_social,desktop,AU,/blog,12,1593,False,False
SESS0000090,CUST01108,2024-06-14,paid_social,desktop,CA,/demo,6,263,False,False
SESS0000091,,2024-11-17,direct,mobile,FR,/case-studies,13,332,False,False
SESS0000092,CUST00227,2024-04-30,referral,desktop,AU,/features,11,870,False,False
SESS0000093,,2024-05-23,referral,tablet,SE,/features,10,258,False,False
SESS0000094,CUST00484,2025-05-03,referral,tablet,FR,/features,5,933,False,False
SESS0000095,CUST01174,2024-05-29,referral,desktop,NL,/demo,12,1612,False,False
SESS0000096,CUST00395,2025-09-06,paid_social,mobile,DE,/contact,7,676,False,False
SESS0000097,,2025-12-18,email,mobile,SE,/pricing,8,172,False,False
SESS0000098,CUST01205,2025-10-30,direct,mobile,NL,/case-studies,5,1391,False,False
SESS0000099,CUST00902,2025-09-19,referral,tablet,SE,/contact,7,1308,False,False
SESS0000100,CUST00993,2025-11-17,referral,mobile,UK,/contact,4,300,False,False
SESS0000101,CUST01145,2026-03-12,paid_social,tablet,UK,/demo,14,71,False,False
SESS0000102,CUST00594,2026-02-04,organic,mobile,UK,/features,5,252,False,False
SESS0000103,,2025-07-11,organic,mobile,DE,/case-studies,10,626,False,False
SESS0000104,CUST00442,2024-08-12,paid_search,mobile,SE,/home,2,629,False,False
SESS0000105,CUST00856,2024-05-06,email,mobile,SE,/features,13,143,False,False
SESS0000106,CUST01241,2025-06-10,paid_search,mobile,SE,/case-studies,8,1713,False,False
SESS0000107,CUST00667,2024-08-11,organic,mobile,NL,/blog,4,310,False,False
SESS0000108,CUST01374,2025-11-23,email,mobile,UK,/case-studies,3,699,False,False
SESS0000109,CUST01449,2024-07-21,paid_social,mobile,UK,/contact,9,1176,False,False
SESS0000110,CUST00109,2026-04-16,direct,mobile,SE,/demo,15,1272,False,True
SESS0000111,CUST00369,2025-11-09,organic,desktop,FR,/pricing,14,1353,False,False
SESS0000112,CUST01093,2025-06-04,direct,desktop,US,/blog,14,1191,False,False
SESS0000113,CUST00850,2025-06-19,organic,mobile,AU,/blog,5,701,False,False
SESS0000114,CUST00585,2024-06-15,paid_search,desktop,UK,/pricing,5,208,False,False
SESS0000115,,2025-08-12,direct,tablet,DE,/home,12,1394,False,False
SESS0000116,,2025-11-05,paid_search,desktop,AU,/features,7,803,False,False
SESS0000117,,2025-06-05,paid_search,mobile,FR,/blog,9,252,False,False
SESS0000118,CUST00552,2026-03-03,organic,desktop,NL,/home,8,793,False,True
SESS0000119,,2025-07-15,organic,desktop,UK,/pricing,13,1302,False,False
SESS0000120,,2025-02-24,direct,desktop,UK,/case-studies,11,1613,False,False
SESS0000121,CUST00765,2024-07-11,direct,tablet,FR,/demo,7,1608,False,False
SESS0000122,CUST00003,2026-01-18,email,tablet,CA,/contact,3,1141,False,True
SESS0000123,,2024-05-29,paid_social,mobile,NL,/features,14,992,False,False
SESS0000124,CUST00577,2025-06-13,organic,desktop,UK,/features,2,1203,False,False
SESS0000125,CUST01485,2025-07-06,direct,tablet,NL,/pricing,10,256,False,False
SESS0000126,CUST01397,2024-07-18,paid_social,mobile,SE,/features,4,1647,False,False
SESS0000127,CUST00942,2026-01-10,direct,desktop,DE,/contact,15,663,False,True
SESS0000128,,2026-03-14,organic,mobile,NL,/demo,15,980,False,False
SESS0000129,CUST01103,2025-01-31,organic,mobile,UK,/demo,1,1006,False,False
SESS0000130,CUST01377,2024-09-16,organic,desktop,NL,/case-studies,10,1676,False,False
SESS0000131,CUST01428,2024-11-22,organic,desktop,AU,/pricing,8,367,False,True
SESS0000132,,2025-09-11,paid_social,mobile,AU,/pricing,2,1526,False,False
SESS0000133,CUST01471,2025-07-31,paid_search,desktop,SE,/features,1,1285,False,False
SESS0000134,CUST00429,2025-05-29,organic,desktop,NL,/home,14,1446,False,False
SESS0000135,CUST01131,2024-09-29,paid_search,mobile,DE,/home,10,1029,False,False
SESS0000136,,2025-06-02,direct,mobile,CA,/pricing,14,138,False,False
SESS0000137,CUST01259,2025-03-25,paid_social,mobile,SE,/home,7,1424,False,False
SESS0000138,,2025-07-03,paid_social,desktop,NL,/features,2,1336,False,False
SESS0000139,CUST01060,2024-08-20,organic,mobile,FR,/home,5,960,False,False
SESS0000140,CUST00011,2025-02-05,email,desktop,UK,/demo,13,1095,False,True
SESS0000141,,2025-03-21,referral,desktop,UK,/pricing,4,1515,False,False
SESS0000142,,2025-01-13,referral,desktop,SE,/blog,13,641,False,True
SESS0000143,CUST00685,2026-03-04,paid_social,desktop,SE,/pricing,6,1637,False,False
SESS0000144,CUST00485,2025-11-30,organic,mobile,SE,/case-studies,2,1687,False,False
SESS0000145,,2024-09-11,organic,tablet,NL,/features,15,1190,False,False
SESS0000146,CUST00127,2024-09-03,email,desktop,NL,/home,2,138,False,False
SESS0000147,,2026-03-06,email,desktop,NL,/pricing,14,1150,False,False
SESS0000148,CUST00929,2025-04-08,email,mobile,NL,/demo,10,1356,False,False
SESS0000149,CUST00054,2025-12-10,email,mobile,FR,/home,2,1338,False,True
SESS0000150,,2026-04-07,paid_search,tablet,DE,/contact,9,1465,False,False
SESS0000151,CUST01272,2025-10-08,email,desktop,DE,/case-studies,1,867,False,False
SESS0000152,CUST01051,2025-11-26,referral,mobile,CA,/demo,15,643,False,False
SESS0000153,,2024-09-02,paid_social,mobile,CA,/features,1,303,False,False
SESS0000154,CUST00118,2026-04-14,paid_search,mobile,US,/blog,6,1351,False,False
SESS0000155,CUST00413,2024-09-27,organic,desktop,SE,/contact,12,415,False,False
SESS0000156,CUST01185,2025-10-27,direct,tablet,CA,/blog,6,1233,False,False
SESS0000157,CUST00087,2025-05-20,email,desktop,US,/contact,4,935,False,False
SESS0000158,CUST00490,2024-07-31,email,mobile,AU,/case-studies,12,960,False,False
SESS0000159,,2025-02-28,organic,desktop,UK,/features,1,824,False,False
SESS0000160,,2025-04-24,paid_search,mobile,AU,/home,1,296,False,False
SESS0000161,,2025-04-18,paid_social,mobile,AU,/case-studies,9,586,False,False
SESS0000162,,2025-11-03,paid_social,tablet,US,/case-studies,11,406,False,False
SESS0000163,CUST00228,2025-05-10,paid_social,tablet,CA,/blog,4,1346,False,False
SESS0000164,CUST01080,2024-08-08,direct,mobile,UK,/home,3,767,False,False
SESS0000165,CUST00393,2025-09-05,direct,desktop,AU,/features,10,272,False,False
SESS0000166,,2024-11-07,organic,mobile,FR,/case-studies,9,1307,False,False
SESS0000167,CUST00110,2024-06-15,referral,mobile,DE,/case-studies,9,309,False,False
SESS0000168,,2024-04-20,organic,mobile,UK,/pricing,9,1006,False,False
SESS0000169,CUST00767,2024-09-16,email,mobile,DE,/features,12,1326,False,False
SESS0000170,CUST01014,2025-03-24,email,desktop,NL,/contact,15,1427,False,False
SESS0000171,,2024-07-14,paid_search,mobile,SE,/case-studies,4,1335,False,False
SESS0000172,CUST00773,2025-12-02,direct,desktop,AU,/features,9,631,False,False
SESS0000173,,2024-05-10,email,mobile,FR,/demo,1,1544,False,False
SESS0000174,CUST00924,2025-12-30,email,desktop,AU,/case-studies,8,1277,False,False
SESS0000175,,2025-08-08,email,desktop,UK,/features,15,788,False,False
SESS0000176,CUST01120,2024-11-10,referral,desktop,CA,/pricing,2,1730,False,False
SESS0000177,,2025-09-07,paid_search,desktop,AU,/features,5,742,False,False
SESS0000178,CUST00563,2025-02-20,paid_search,mobile,DE,/case-studies,13,1578,False,False
SESS0000179,CUST00018,2024-10-08,paid_social,desktop,AU,/case-studies,7,1117,False,False
SESS0000180,CUST01343,2024-07-23,organic,mobile,DE,/case-studies,7,1688,False,False
SESS0000181,CUST00972,2025-09-19,paid_search,mobile,SE,/contact,14,1486,False,False
SESS0000182,,2025-06-13,paid_search,desktop,NL,/pricing,8,1626,False,False
SESS0000183,,2024-05-02,paid_search,mobile,DE,/features,12,1148,False,True
SESS0000184,CUST00727,2025-09-13,paid_social,desktop,NL,/contact,13,1664,False,False
SESS0000185,CUST00614,2026-01-13,paid_social,mobile,US,/pricing,3,1599,False,False
SESS0000186,CUST01235,2024-04-24,direct,mobile,NL,/blog,4,681,False,False
SESS0000187,CUST00386,2025-07-04,email,desktop,SE,/contact,15,135,False,False
SESS0000188,,2024-10-20,direct,desktop,SE,/home,3,356,False,False
SESS0000189,,2024-11-26,paid_search,desktop,UK,/blog,1,795,False,False
SESS0000190,,2025-01-20,email,desktop,UK,/pricing,9,27,True,False
SESS0000191,,2024-09-24,paid_search,desktop,FR,/features,7,1526,False,False
SESS0000192,CUST01237,2025-01-25,direct,tablet,FR,/demo,12,1366,False,False
SESS0000193,,2025-05-20,paid_search,desktop,NL,/demo,13,569,False,False
SESS0000194,CUST01006,2026-01-29,email,mobile,US,/contact,2,678,False,False
SESS0000195,CUST01458,2024-12-27,paid_social,desktop,DE,/blog,4,939,False,False
SESS0000196,CUST00938,2026-01-03,email,tablet,DE,/contact,10,1270,False,False
SESS0000197,CUST00491,2025-02-24,paid_search,desktop,CA,/contact,15,1435,False,False
SESS0000198,CUST00445,2024-11-19,email,desktop,UK,/features,2,1492,False,False
SESS0000199,CUST00668,2025-01-07,email,mobile,CA,/pricing,9,1038,False,True
SESS0000200,,2025-06-16,referral,mobile,SE,/blog,6,59,False,False
SESS0000201,,2025-04-29,organic,desktop,UK,/contact,15,1757,False,False
SESS0000202,CUST00993,2026-02-28,email,desktop,FR,/contact,8,1377,False,False
SESS0000203,,2026-02-18,paid_search,desktop,US,/demo,2,1685,False,False
SESS0000204,CUST00801,2024-05-03,paid_search,desktop,US,/contact,5,259,False,False
SESS0000205,,2024-05-10,referral,desktop,FR,/blog,12,738,False,True
SESS0000206,CUST01313,2025-05-29,referral,mobile,UK,/blog,12,1305,False,False
SESS0000207,CUST00100,2025-11-21,email,mobile,FR,/features,15,112,False,False
SESS0000208,,2026-02-10,organic,tablet,AU,/case-studies,4,192,False,False
SESS0000209,,2024-07-02,organic,mobile,DE,/contact,3,134,False,True
SESS0000210,,2025-02-01,paid_social,desktop,FR,/demo,4,1054,False,False
SESS0000211,CUST00248,2025-07-20,paid_search,desktop,AU,/features,3,814,False,True
SESS0000212,CUST00798,2025-04-14,paid_search,mobile,UK,/contact,14,1344,False,False
SESS0000213,CUST00138,2026-04-17,paid_search,desktop,SE,/home,12,1282,False,False
SESS0000214,CUST00516,2025-04-16,organic,mobile,NL,/contact,15,1746,False,False
SESS0000215,,2025-04-25,paid_search,mobile,AU,/case-studies,11,1425,False,False
SESS0000216,,2026-02-03,direct,desktop,FR,/demo,10,691,False,False
SESS0000217,,2025-07-22,direct,mobile,UK,/features,4,32,False,False
SESS0000218,,2025-03-19,organic,desktop,AU,/blog,5,1555,False,False
SESS0000219,,2025-07-07,organic,desktop,SE,/contact,15,774,False,False
SESS0000220,CUST00082,2024-10-23,direct,mobile,NL,/contact,14,574,False,False
SESS0000221,,2024-09-20,referral,desktop,FR,/pricing,9,53,False,False
SESS0000222,CUST01408,2025-01-24,referral,mobile,NL,/demo,6,1366,False,False
SESS0000223,,2024-08-20,email,desktop,FR,/home,11,1294,False,False
SESS0000224,,2025-08-31,paid_search,mobile,FR,/pricing,9,423,False,False
SESS0000225,CUST00337,2024-04-19,referral,desktop,NL,/pricing,10,1489,False,False
SESS0000226,CUST01302,2025-07-12,paid_search,desktop,SE,/home,6,589,False,False
SESS0000227,CUST00866,2024-05-29,direct,mobile,NL,/case-studies,3,348,False,False
SESS0000228,CUST00782,2025-07-17,email,mobile,CA,/demo,9,1630,False,False
SESS0000229,,2025-08-31,email,mobile,SE,/features,7,1493,False,False
SESS0000230,,2024-05-12,paid_search,mobile,FR,/pricing,15,989,False,False
SESS0000231,CUST01496,2024-09-13,referral,desktop,NL,/blog,7,31,False,False
SESS0000232,CUST00631,2024-11-15,referral,tablet,UK,/blog,15,769,False,True
SESS0000233,CUST01159,2025-01-15,paid_search,desktop,NL,/features,13,259,False,False
SESS0000234,CUST01453,2025-07-20,email,mobile,AU,/contact,1,1484,False,False
SESS0000235,CUST00497,2024-05-23,email,desktop,AU,/contact,12,873,False,False
SESS0000236,CUST00303,2025-08-22,paid_social,mobile,DE,/features,4,1433,False,False
SESS0000237,CUST00026,2024-07-05,organic,mobile,NL,/blog,12,1362,False,False
SESS0000238,CUST00387,2025-07-05,email,desktop,NL,/features,12,169,False,False
SESS0000239,CUST00784,2024-06-01,direct,desktop,NL,/case-studies,15,1096,False,False
SESS0000240,,2024-10-14,referral,mobile,AU,/case-studies,3,1785,False,False
SESS0000241,CUST00816,2024-05-12,referral,desktop,DE,/case-studies,8,434,False,True
SESS0000242,CUST00856,2024-12-02,direct,desktop,CA,/contact,7,148,False,False
SESS0000243,,2026-03-11,paid_search,desktop,DE,/demo,2,772,False,False
SESS0000244,,2026-02-14,paid_search,desktop,DE,/case-studies,13,1672,False,False
SESS0000245,CUST01284,2025-11-16,direct,desktop,DE,/home,5,1790,False,False
SESS0000246,,2024-10-28,paid_social,desktop,FR,/blog,8,260,False,False
SESS0000247,,2024-10-03,paid_social,mobile,US,/contact,10,211,False,False
SESS0000248,,2026-01-13,direct,mobile,NL,/demo,9,90,False,False
SESS0000249,,2024-12-13,email,mobile,AU,/demo,7,1564,False,False
SESS0000250,CUST00646,2025-08-27,paid_search,tablet,NL,/blog,10,1401,False,False
SESS0000251,CUST00206,2024-06-16,organic,mobile,NL,/contact,14,734,False,False
SESS0000252,,2024-06-21,organic,mobile,CA,/contact,13,289,False,False
SESS0000253,CUST01406,2025-07-10,referral,mobile,NL,/contact,4,759,False,True
SESS0000254,CUST00660,2024-11-03,organic,mobile,US,/case-studies,12,1311,False,False
SESS0000255,,2025-04-04,email,desktop,UK,/features,7,914,False,False
SESS0000256,CUST01433,2025-07-05,organic,mobile,CA,/demo,4,980,False,False
SESS0000257,CUST01172,2025-07-13,referral,mobile,DE,/blog,13,1786,False,False
SESS0000258,CUST01124,2024-11-16,email,desktop,SE,/home,8,1709,False,False
SESS0000259,,2025-01-27,paid_search,mobile,UK,/home,7,498,False,False
SESS0000260,,2024-04-23,paid_social,tablet,CA,/pricing,12,64,False,False
SESS0000261,CUST01374,2024-09-25,organic,mobile,SE,/home,13,980,False,False
SESS0000262,,2025-09-16,direct,mobile,UK,/contact,6,1790,False,False
SESS0000263,CUST01485,2026-04-18,email,mobile,NL,/case-studies,4,1474,False,False
SESS0000264,,2024-04-30,organic,desktop,FR,/contact,2,241,False,False
SESS0000265,CUST00779,2025-09-29,direct,mobile,CA,/home,10,265,False,False
SESS0000266,CUST00868,2025-09-14,paid_social,mobile,DE,/demo,11,1739,False,False
SESS0000267,,2026-01-13,organic,mobile,SE,/features,3,459,False,False
SESS0000268,CUST01024,2024-11-23,referral,mobile,CA,/pricing,12,612,False,False
SESS0000269,CUST00071,2024-12-15,direct,desktop,UK,/features,14,1646,False,False
SESS0000270,CUST00442,2025-08-28,email,desktop,NL,/home,13,984,False,False
SESS0000271,CUST00461,2025-07-07,referral,mobile,DE,/case-studies,8,1700,False,False
SESS0000272,CUST01351,2024-07-21,paid_search,tablet,NL,/features,7,617,False,False
SESS0000273,CUST00801,2025-10-03,organic,mobile,CA,/features,12,718,False,False
SESS0000274,CUST00807,2026-02-13,organic,desktop,US,/case-studies,15,1440,False,False
SESS0000275,CUST01183,2025-07-06,paid_search,desktop,SE,/features,15,942,False,False
SESS0000276,CUST00401,2024-07-09,referral,mobile,AU,/contact,14,451,False,False
SESS0000277,CUST00303,2026-02-19,email,tablet,NL,/contact,14,1394,False,False
SESS0000278,,2024-05-25,email,desktop,US,/home,9,120,False,False
SESS0000279,CUST00305,2025-07-01,referral,mobile,FR,/home,2,1220,False,False
SESS0000280,CUST01221,2025-09-20,paid_search,mobile,NL,/case-studies,12,1005,False,False
SESS0000281,CUST00950,2024-08-30,referral,desktop,SE,/features,1,1378,False,False
SESS0000282,,2025-10-29,referral,mobile,FR,/home,10,174,False,False
SESS0000283,CUST01421,2024-05-29,referral,desktop,DE,/blog,8,1177,False,False
SESS0000284,CUST01171,2024-10-25,paid_search,desktop,UK,/contact,15,1444,False,False
SESS0000285,,2025-12-09,referral,desktop,SE,/home,9,1105,False,False
SESS0000286,CUST01335,2024-05-03,organic,mobile,FR,/contact,15,1108,False,False
SESS0000287,CUST00369,2025-12-03,organic,mobile,AU,/home,1,1770,False,False
SESS0000288,CUST00180,2025-11-22,direct,desktop,US,/home,2,427,False,False
SESS0000289,CUST00352,2024-07-22,email,tablet,US,/pricing,5,749,False,True
SESS0000290,CUST00601,2025-01-04,referral,mobile,DE,/demo,8,1068,False,False
SESS0000291,CUST00722,2024-12-15,direct,mobile,FR,/contact,2,1075,False,False
SESS0000292,,2026-03-26,paid_search,desktop,FR,/pricing,10,96,False,False
SESS0000293,CUST00264,2024-12-09,referral,mobile,UK,/demo,5,1216,False,False
SESS0000294,CUST00820,2025-05-09,email,desktop,CA,/contact,7,1335,False,False
SESS0000295,CUST00145,2024-12-08,referral,mobile,FR,/contact,6,298,False,False
SESS0000296,CUST01239,2025-11-05,paid_search,desktop,DE,/features,13,1331,False,False
SESS0000297,CUST00507,2024-09-24,organic,desktop,UK,/contact,9,58,False,False
SESS0000298,CUST00744,2025-08-18,paid_social,mobile,DE,/case-studies,13,679,False,False
SESS0000299,,2024-08-12,paid_search,desktop,UK,/case-studies,15,25,True,False
SESS0000300,CUST00628,2024-06-05,direct,mobile,SE,/home,9,1083,False,False
SESS0000301,CUST01130,2025-10-12,paid_social,mobile,US,/pricing,6,1176,False,False
SESS0000302,,2025-10-24,referral,mobile,NL,/blog,10,802,False,False
SESS0000303,CUST01461,2025-08-07,paid_search,mobile,DE,/blog,10,24,True,False
SESS0000304,CUST01310,2026-04-09,paid_social,mobile,FR,/contact,10,113,False,False
SESS0000305,,2025-10-31,paid_social,mobile,CA,/features,7,942,False,False
SESS0000306,CUST00469,2024-12-02,paid_social,mobile,UK,/features,7,1476,False,False
SESS0000307,,2026-03-19,organic,desktop,FR,/home,3,1736,False,False
SESS0000308,CUST01135,2025-04-18,email,mobile,US,/blog,11,178,False,False
SESS0000309,,2025-01-01,email,mobile,UK,/blog,1,1501,False,False
SESS0000310,CUST01463,2024-07-15,email,mobile,AU,/pricing,12,1707,False,False
SESS0000311,CUST01082,2025-01-05,referral,mobile,SE,/pricing,11,1691,False,False
SESS0000312,CUST00461,2024-05-28,paid_search,desktop,DE,/demo,6,1569,False,False
SESS0000313,CUST00350,2024-07-31,paid_social,tablet,AU,/contact,4,870,False,False
SESS0000314,CUST00242,2024-09-23,paid_social,desktop,CA,/features,4,1747,False,True
SESS0000315,CUST00446,2025-07-15,paid_social,tablet,US,/blog,15,1297,False,False
SESS0000316,,2025-11-21,organic,mobile,AU,/features,6,1004,False,False
SESS0000317,CUST00382,2026-01-09,email,desktop,UK,/blog,8,721,False,False
SESS0000318,CUST00315,2025-03-28,email,desktop,SE,/home,3,1088,False,False
SESS0000319,,2024-10-02,email,desktop,AU,/blog,15,517,False,False
SESS0000320,,2025-07-29,email,mobile,SE,/pricing,3,1667,False,False
SESS0000321,,2025-06-21,referral,desktop,FR,/features,1,893,False,False
SESS0000322,CUST00065,2024-05-20,paid_search,mobile,SE,/contact,5,867,False,False
SESS0000323,CUST01397,2024-04-29,referral,desktop,NL,/demo,12,1006,False,False
SESS0000324,CUST00270,2025-01-04,organic,tablet,US,/pricing,3,1731,False,False
SESS0000325,CUST00485,2025-01-27,organic,mobile,AU,/blog,10,32,False,False
SESS0000326,CUST00578,2026-02-19,email,desktop,NL,/pricing,10,894,False,False
SESS0000327,,2024-07-28,paid_social,mobile,CA,/contact,4,1052,False,False
SESS0000328,,2025-05-13,referral,mobile,UK,/contact,12,883,False,False
SESS0000329,,2026-03-30,direct,mobile,DE,/pricing,2,376,False,False
SESS0000330,,2024-07-16,paid_search,tablet,NL,/home,10,83,False,False
SESS0000331,,2024-06-30,email,mobile,FR,/pricing,6,1775,False,False
SESS0000332,CUST01319,2025-08-29,organic,desktop,CA,/features,5,130,False,False
SESS0000333,CUST00656,2026-03-26,organic,desktop,US,/home,11,1462,False,False
SESS0000334,,2025-07-03,paid_social,tablet,UK,/blog,3,439,False,False
SESS0000335,CUST00624,2026-01-25,organic,desktop,US,/contact,9,1011,False,False
SESS0000336,CUST00741,2025-10-17,referral,mobile,AU,/pricing,11,271,False,False
