order_id,customer_id,campaign_id,order_date,product,quantity,unit_price_usd,gross_revenue_usd,discount_pct,net_revenue_usd,payment_method,order_status
ORD000028,CUST01282,,2025-01-09,Pro Plan,5,279.06,1395.3,0,1395.3,ACH,completed
ORD000029,CUST00354,,2025-04-04,Add-on: API,9,747.68,6729.12,20,5383.3,Credit Card,completed
ORD000030,CUST00972,CAMP0012,2026-02-09,Starter Plan,8,2153.96,17231.68,0,17231.68,PayPal,completed
ORD000031,CUST01150,CAMP0093,2024-09-13,Growth Plan,10,227.98,2279.8,10,2051.82,PayPal,completed
ORD000032,CUST01324,,2026-01-01,Starter Plan,8,1741.59,13932.72,10,12539.45,Invoice,completed
ORD000033,CUST00363,CAMP0071,2026-01-22,Add-on: Analytics,7,54.22,379.54,5,360.56,ACH,completed
ORD000034,CUST00045,,2024-12-04,Growth Plan,9,2429.29,21863.61,15,18584.07,Invoice,completed
ORD000035,CUST01000,CAMP0082,2025-09-08,Add-on: API,6,896.14,5376.84,0,5376.84,Invoice,completed
ORD000036,CUST00419,CAMP0087,2025-01-30,Growth Plan,7,2238.12,15666.84,15,13316.81,ACH,completed
ORD000037,CUST01093,CAMP0023,2025-04-11,Growth Plan,7,1165.57,8158.99,0,8158.99,Credit Card,completed
ORD000038,CUST01027,,2024-10-23,Professional Services,5,212.12,1060.6,10,954.54,PayPal,completed
ORD000039,CUST00234,CAMP0038,2024-08-04,Professional Services,4,2869.53,11478.12,15,9756.4,ACH,completed
ORD000040,CUST00664,CAMP0003,2024-04-26,Add-on: Analytics,5,2322.25,11611.25,0,11611.25,ACH,completed
ORD000041,CUST01029,CAMP0084,2026-04-02,Starter Plan,3,1106.77,3320.31,0,3320.31,PayPal,refunded
ORD000042,CUST00446,CAMP0004,2024-09-14,Add-on: Analytics,4,1936.34,7745.36,10,6970.82,ACH,completed
ORD000043,CUST00349,,2024-12-31,Add-on: API,7,2607.04,18249.28,0,18249.28,PayPal,completed
ORD000044,CUST00628,CAMP0046,2025-10-27,Add-on: Analytics,4,2397.68,9590.72,15,8152.11,PayPal,completed
ORD000045,CUST00041,CAMP0098,2024-12-29,Add-on: Analytics,7,1976.15,13833.05,5,13141.4,Invoice,completed
ORD000046,CUST01123,,2025-12-12,Growth Plan,5,2351.06,11755.3,0,11755.3,Credit Card,refunded
ORD000047,CUST00307,CAMP0025,2024-06-10,Enterprise Plan,3,1967.48,5902.44,0,5902.44,PayPal,completed
ORD000048,CUST01167,CAMP0099,2026-03-28,Professional Services,9,1523.34,13710.06,20,10968.05,ACH,completed
ORD000049,CUST01075,CAMP0117,2025-02-20,Growth Plan,10,1329.84,13298.4,20,10638.72,ACH,completed
ORD000050,CUST01454,CAMP0106,2025-04-11,Add-on: API,1,2844.87,2844.87,20,2275.9,Credit Card,pending
ORD000051,CUST00178,CAMP0047,2026-03-09,Starter Plan,4,2781.4,11125.6,15,9456.76,Credit Card,completed
ORD000052,CUST00104,,2025-06-19,Professional Services,2,2472.0,4944.0,0,4944.0,Credit Card,completed
ORD000053,CUST01197,CAMP0054,2024-12-18,Starter Plan,1,60.97,60.97,0,60.97,ACH,completed
ORD000054,CUST01352,,2026-03-27,Add-on: API,10,396.67,3966.7,0,3966.7,ACH,completed
ORD000055,CUST00497,,2025-10-27,Enterprise Plan,6,938.92,5633.52,0,5633.52,Invoice,completed
ORD000056,CUST00559,CAMP0022,2024-06-09,Growth Plan,3,2734.45,8203.35,0,8203.35,Invoice,completed
ORD000057,CUST00054,CAMP0110,2025-06-28,Starter Plan,2,1931.09,3862.18,15,3282.85,Credit Card,completed
ORD000058,CUST00717,CAMP0109,2025-12-07,Add-on: API,10,1518.69,15186.9,10,13668.21,Invoice,completed
ORD000059,CUST00025,CAMP0060,2025-05-07,Pro Plan,6,2431.84,14591.04,0,14591.04,PayPal,completed
ORD000060,CUST00648,,2024-05-11,Starter Plan,8,1224.95,9799.6,0,9799.6,PayPal,completed
ORD000061,CUST00031,,2024-11-17,Professional Services,7,1022.08,7154.56,0,7154.56,PayPal,completed
ORD000062,CUST01371,CAMP0089,2025-12-28,Pro Plan,6,1542.88,9257.28,15,7868.69,Credit Card,completed
ORD000063,CUST01021,,2025-04-05,Add-on: Analytics,9,1010.52,9094.68,0,9094.68,PayPal,completed
ORD000064,CUST01308,CAMP0107,2025-02-17,Growth Plan,1,2996.82,2996.82,5,2846.98,PayPal,pending
ORD000065,CUST01347,CAMP0045,2025-03-02,Professional Services,1,363.25,363.25,0,363.25,Credit Card,completed
ORD000066,CUST01500,,2025-08-25,Add-on: Analytics,4,2023.03,8092.12,0,8092.12,PayPal,completed
ORD000067,CUST00782,CAMP0080,2025-04-17,Growth Plan,9,2304.46,20740.14,15,17629.12,ACH,completed
ORD000068,CUST00816,,2025-09-07,Pro Plan,7,1701.92,11913.44,0,11913.44,Invoice,completed
ORD000069,CUST00126,,2024-05-22,Growth Plan,4,902.84,3611.36,0,3611.36,Credit Card,refunded
ORD000070,CUST00522,CAMP0001,2026-03-14,Add-on: Analytics,3,1683.43,5050.29,15,4292.75,Credit Card,completed
ORD000071,CUST01166,,2025-09-01,Add-on: API,3,1664.88,4994.64,0,4994.64,Invoice,refunded
ORD000072,CUST01480,,2025-12-17,Pro Plan,3,2488.89,7466.67,5,7093.34,ACH,completed
ORD000073,CUST00019,CAMP0009,2026-01-27,Starter Plan,4,1312.58,5250.32,10,4725.29,ACH,completed
ORD000074,CUST01024,,2026-04-08,Growth Plan,5,2826.65,14133.25,5,13426.59,Invoice,completed
ORD000075,CUST00238,,2025-02-03,Growth Plan,8,1139.74,9117.92,15,7750.23,Invoice,completed
ORD000076,CUST00298,CAMP0004,2025-01-23,Professional Services,2,2817.02,5634.04,15,4788.93,Credit Card,completed
ORD000077,CUST00106,CAMP0119,2025-07-30,Starter Plan,9,1929.94,17369.46,10,15632.51,PayPal,completed
ORD000078,CUST00543,CAMP0057,2024-12-18,Professional Services,4,2675.26,10701.04,5,10165.99,PayPal,completed
ORD000079,CUST01043,CAMP0081,2025-08-01,Pro Plan,10,490.91,4909.1,20,3927.28,Credit Card,completed
ORD000080,CUST01026,CAMP0064,2025-06-12,Growth Plan,8,2956.88,23655.04,0,23655.04,Credit Card,refunded
ORD000081,CUST00878,,2026-01-17,Professional Services,7,1475.83,10330.81,20,8264.65,Credit Card,completed
ORD000082,CUST01145,CAMP0062,2025-02-20,Professional Services,9,326.17,2935.53,15,2495.2,Credit Card,completed
ORD000083,CUST00871,CAMP0116,2025-01-19,Growth Plan,2,2607.18,5214.36,20,4171.49,ACH,completed
ORD000084,CUST01397,,2025-03-27,Enterprise Plan,1,2269.49,2269.49,10,2042.54,PayPal,completed
ORD000085,CUST00407,CAMP0001,2025-04-03,Add-on: API,7,2743.44,19204.08,20,15363.26,Credit Card,completed
ORD000086,CUST00522,CAMP0090,2024-05-31,Starter Plan,9,2030.93,18278.37,20,14622.7,Invoice,completed
ORD000087,CUST00387,CAMP0078,2024-08-26,Add-on: Analytics,6,2520.77,15124.62,0,15124.62,ACH,completed
ORD000088,CUST00049,CAMP0098,2026-02-26,Starter Plan,4,1345.19,5380.76,15,4573.65,Credit Card,completed
ORD000089,CUST00222,,2025-03-26,Starter Plan,1,2350.66,2350.66,5,2233.13,Credit Card,completed
ORD000090,CUST00786,,2026-03-06,Pro Plan,4,2600.63,10402.52,0,10402.52,Invoice,completed
ORD000091,CUST01076,,2025-03-08,Enterprise Plan,5,1932.19,9660.95,10,8694.86,Invoice,completed
ORD000092,CUST01481,CAMP0026,2024-07-22,Add-on: API,8,177.99,1423.92,0,1423.92,Invoice,refunded
ORD000093,CUST00435,,2024-12-24,Growth Plan,7,2290.39,16032.73,0,16032.73,ACH,completed
ORD000094,CUST00002,CAMP0023,2025-05-05,Enterprise Plan,5,711.26,3556.3,0,3556.3,Credit Card,completed
ORD000095,CUST01077,,2024-06-21,Add-on: API,5,2893.39,14466.95,0,14466.95,Credit Card,completed
ORD000096,CUST01153,CAMP0034,2024-05-26,Enterprise Plan,5,2415.42,12077.1,0,12077.1,PayPal,completed
ORD000097,CUST00357,,2026-02-17,Add-on: Analytics,4,2796.29,11185.16,0,11185.16,Invoice,completed
ORD000098,CUST00376,,2024-09-05,Growth Plan,5,802.78,4013.9,5,3813.2,ACH,completed
ORD000099,CUST00050,CAMP0093,2026-01-18,Starter Plan,5,1288.89,6444.45,0,6444.45,PayPal,completed
ORD000100,CUST00454,CAMP0095,2025-09-15,Add-on: Analytics,2,1024.23,2048.46,0,2048.46,Invoice,completed
ORD000101,CUST00617,,2024-10-22,Starter Plan,5,1058.84,5294.2,20,4235.36,Invoice,completed
ORD000102,CUST01226,CAMP0068,2025-08-01,Starter Plan,1,1523.33,1523.33,0,1523.33,Credit Card,completed
ORD000103,CUST00181,CAMP0014,2025-08-26,Professional Services,8,1318.09,10544.72,0,10544.72,ACH,completed
ORD000104,CUST01025,,2024-09-04,Pro Plan,6,423.65,2541.9,0,2541.9,ACH,completed
ORD000105,CUST01258,CAMP0058,2024-07-25,Starter Plan,3,1160.24,3480.72,0,3480.72,Credit Card,completed
ORD000106,CUST01023,CAMP0008,2025-07-21,Enterprise Plan,9,880.76,7926.84,0,7926.84,Invoice,completed
ORD000107,CUST00256,CAMP0015,2026-03-22,Growth Plan,2,2807.28,5614.56,10,5053.1,Invoice,completed
ORD000108,CUST00702,CAMP0035,2024-08-11,Professional Services,4,1320.27,5281.08,0,5281.08,PayPal,completed
ORD000109,CUST00220,,2025-07-15,Professional Services,3,657.06,1971.18,0,1971.18,ACH,completed
ORD000110,CUST01226,CAMP0108,2026-04-14,Growth Plan,10,1100.37,11003.7,0,11003.7,Credit Card,completed
ORD000111,CUST01312,CAMP0018,2024-06-27,Add-on: API,6,256.27,1537.62,10,1383.86,PayPal,completed
ORD000112,CUST00058,CAMP0036,2026-02-06,Professional Services,6,2368.44,14210.64,15,12079.04,Credit Card,completed
ORD000113,CUST00399,,2025-10-30,Add-on: Analytics,9,1656.61,14909.49,0,14909.49,PayPal,pending
ORD000114,CUST01202,CAMP0118,2026-04-08,Add-on: Analytics,8,471.36,3770.88,15,3205.25,ACH,refunded
ORD000115,CUST00282,CAMP0047,2025-11-04,Add-on: Analytics,3,52.58,157.74,0,157.74,Credit Card,completed
ORD000116,CUST00917,CAMP0099,2024-07-10,Professional Services,5,1291.59,6457.95,20,5166.36,ACH,completed
ORD000117,CUST01034,,2025-01-18,Add-on: API,5,2338.08,11690.4,15,9936.84,PayPal,completed
ORD000118,CUST01204,,2025-08-02,Enterprise Plan,5,1739.97,8699.85,20,6959.88,PayPal,completed
ORD000119,CUST00484,CAMP0057,2025-01-23,Enterprise Plan,4,724.27,2897.08,0,2897.08,Credit Card,completed
ORD000120,CUST01274,CAMP0043,2024-06-09,Add-on: API,2,2395.98,4791.96,0,4791.96,Invoice,completed
ORD000121,CUST00887,CAMP0118,2025-03-05,Add-on: API,8,1110.26,8882.08,0,8882.08,PayPal,refunded
ORD000122,CUST00722,CAMP0056,2025-10-16,Pro Plan,6,2417.87,14507.22,10,13056.5,PayPal,completed
ORD000123,CUST01404,CAMP0019,2024-12-24,Starter Plan,2,2679.26,5358.52,0,5358.52,PayPal,completed
ORD000124,CUST00809,,2026-03-11,Starter Plan,3,2208.9,6626.7,5,6295.36,Credit Card,completed
ORD000125,CUST01459,CAMP0070,2025-11-08,Add-on: Analytics,6,452.96,2717.76,10,2445.98,ACH,completed
ORD000126,CUST00217,,2024-08-25,Add-on: Analytics,8,2492.23,19937.84,20,15950.27,Invoice,completed
ORD000127,CUST01066,CAMP0100,2024-05-28,Enterprise Plan,6,687.38,4124.28,5,3918.07,Invoice,completed
ORD000128,CUST01321,CAMP0027,2025-01-16,Professional Services,10,795.75,7957.5,0,7957.5,Credit Card,completed
ORD000129,CUST00933,,2026-03-04,Starter Plan,5,490.4,2452.0,0,2452.0,Credit Card,completed
ORD000130,CUST00423,CAMP0011,2024-08-08,Growth Plan,4,2475.35,9901.4,5,9406.33,Invoice,completed
ORD000131,CUST01305,CAMP0095,2024-08-11,Starter Plan,9,2307.1,20763.9,10,18687.51,Credit Card,pending
ORD000132,CUST01086,,2025-07-27,Pro Plan,8,1454.8,11638.4,20,9310.72,PayPal,completed
ORD000133,CUST00946,CAMP0096,2025-09-17,Add-on: Analytics,1,1629.2,1629.2,5,1547.74,Invoice,completed
ORD000134,CUST01222,,2026-02-20,Pro Plan,10,2149.29,21492.9,0,21492.9,Credit Card,completed
ORD000135,CUST01343,CAMP0071,2025-01-14,Growth Plan,2,439.68,879.36,15,747.46,ACH,pending
ORD000136,CUST00666,,2024-08-07,Growth Plan,5,2435.71,12178.55,15,10351.77,Invoice,completed
ORD000137,CUST00772,CAMP0095,2024-11-20,Pro Plan,7,1996.64,13976.48,0,13976.48,ACH,completed
ORD000138,CUST01033,,2024-10-06,Add-on: API,2,97.21,194.42,15,165.26,ACH,completed
ORD000139,CUST00514,CAMP0079,2024-07-03,Enterprise Plan,8,1423.62,11388.96,20,9111.17,PayPal,completed
ORD000140,CUST01375,,2025-12-31,Professional Services,7,158.06,1106.42,0,1106.42,ACH,refunded
ORD000141,CUST00093,,2025-09-30,Starter Plan,3,1426.85,4280.55,15,3638.47,Credit Card,completed
ORD000142,CUST00545,CAMP0120,2025-01-13,Growth Plan,6,2539.3,15235.8,10,13712.22,PayPal,completed
ORD000143,CUST00788,CAMP0112,2024-09-12,Enterprise Plan,7,532.5,3727.5,15,3168.38,Invoice,completed
ORD000144,CUST00827,CAMP0102,2025-03-10,Add-on: Analytics,10,2745.5,27455.0,5,26082.25,Invoice,completed
ORD000145,CUST00683,CAMP0096,2026-02-28,Add-on: API,5,2347.18,11735.9,0,11735.9,ACH,completed
ORD000146,CUST01319,,2024-10-05,Growth Plan,10,724.28,7242.8,10,6518.52,Credit Card,completed
ORD000147,CUST01467,CAMP0080,2024-11-23,Starter Plan,6,1763.33,10579.98,0,10579.98,Invoice,completed
ORD000148,CUST00552,,2025-01-31,Starter Plan,1,2899.57,2899.57,5,2754.59,Credit Card,pending
ORD000149,CUST00776,CAMP0036,2025-11-14,Enterprise Plan,7,1521.65,10651.55,10,9586.4,Credit Card,completed
ORD000150,CUST01426,CAMP0117,2026-03-14,Add-on: API,7,932.76,6529.32,0,6529.32,Credit Card,completed
ORD000151,CUST00704,,2024-06-13,Starter Plan,10,931.21,9312.1,0,9312.1,Credit Card,completed
ORD000152,CUST01341,,2024-09-09,Pro Plan,5,2092.73,10463.65,10,9417.28,Credit Card,completed
ORD000153,CUST00212,,2026-02-11,Add-on: API,10,2183.18,21831.8,10,19648.62,ACH,completed
ORD000154,CUST00530,,2026-02-04,Add-on: Analytics,4,927.69,3710.76,5,3525.22,Invoice,pending
ORD000155,CUST01137,CAMP0055,2026-01-14,Pro Plan,3,1876.86,5630.58,10,5067.52,ACH,completed
ORD000156,CUST01430,CAMP0084,2025-08-31,Growth Plan,9,2724.94,24524.46,0,24524.46,Invoice,completed
ORD000157,CUST01344,CAMP0081,2025-05-02,Add-on: API,5,570.08,2850.4,10,2565.36,Invoice,completed
ORD000158,CUST00130,,2025-02-01,Starter Plan,2,2790.82,5581.64,15,4744.39,PayPal,completed
ORD000159,CUST01100,,2024-05-21,Add-on: API,3,1705.26,5115.78,0,5115.78,Invoice,completed
ORD000160,CUST00795,CAMP0022,2024-05-16,Add-on: API,4,2048.13,8192.52,10,7373.27,PayPal,completed
ORD000161,CUST00809,CAMP0002,2024-05-01,Pro Plan,7,1647.4,11531.8,20,9225.44,ACH,completed
ORD000162,CUST00175,,2024-12-30,Professional Services,5,165.91,829.55,5,788.07,Credit Card,completed
ORD000163,CUST01127,CAMP0009,2024-05-04,Enterprise Plan,10,1473.7,14737.0,0,14737.0,PayPal,completed
ORD000164,CUST00479,CAMP0085,2025-08-26,Starter Plan,6,773.99,4643.94,0,4643.94,Credit Card,completed
ORD000165,CUST00175,CAMP0095,2024-11-13,Add-on: Analytics,9,2566.24,23096.16,15,19631.74,Invoice,refunded
ORD000166,CUST01044,,2026-01-19,Growth Plan,5,2675.2,13376.0,10,12038.4,PayPal,completed
ORD000167,CUST01314,,2026-04-10,Professional Services,9,1475.52,13279.68,5,12615.7,PayPal,completed
ORD000168,CUST01232,CAMP0049,2025-10-28,Add-on: Analytics,5,1729.38,8646.9,10,7782.21,PayPal,completed
ORD000169,CUST01418,CAMP0032,2024-05-31,Add-on: Analytics,9,2764.82,24883.38,0,24883.38,Credit Card,completed
ORD000170,CUST00080,,2025-09-20,Pro Plan,4,2804.55,11218.2,10,10096.38,ACH,completed
ORD000171,CUST01345,CAMP0117,2024-10-23,Enterprise Plan,8,2620.81,20966.48,0,20966.48,ACH,completed
ORD000172,CUST00279,,2025-12-23,Add-on: API,8,790.11,6320.88,15,5372.75,Invoice,completed
ORD000173,CUST01175,,2025-05-09,Professional Services,10,553.68,5536.8,20,4429.44,Invoice,completed
ORD000174,CUST00504,CAMP0027,2025-05-09,Growth Plan,3,2440.62,7321.86,10,6589.67,ACH,completed
ORD000175,CUST01088,CAMP0105,2025-08-12,Add-on: Analytics,7,502.63,3518.41,0,3518.41,Credit Card,completed
ORD000176,CUST00432,CAMP0019,2026-02-27,Add-on: API,6,173.11,1038.66,15,882.86,PayPal,completed
ORD000177,CUST01406,,2025-11-19,Enterprise Plan,7,718.93,5032.51,0,5032.51,ACH,refunded
ORD000178,CUST00832,CAMP0058,2025-01-29,Growth Plan,6,1169.95,7019.7,10,6317.73,Credit Card,completed
ORD000179,CUST01306,CAMP0019,2024-11-20,Enterprise Plan,1,2320.99,2320.99,0,2320.99,Credit Card,completed
ORD000180,CUST00757,,2024-10-29,Pro Plan,3,1843.58,5530.74,0,5530.74,ACH,completed
ORD000181,CUST00952,CAMP0001,2024-11-04,Enterprise Plan,4,1584.57,6338.28,20,5070.62,PayPal,completed
ORD000182,CUST00862,,2024-06-16,Starter Plan,5,2789.09,13945.45,0,13945.45,PayPal,completed
ORD000183,CUST00760,,2026-04-12,Growth Plan,10,1348.8,13488.0,20,10790.4,PayPal,completed
ORD000184,CUST00518,CAMP0078,2025-03-24,Starter Plan,1,2825.3,2825.3,0,2825.3,Credit Card,completed
ORD000185,CUST00696,,2024-04-26,Add-on: Analytics,4,1900.56,7602.24,0,7602.24,Credit Card,completed
ORD000186,CUST00880,,2024-05-29,Pro Plan,3,1983.76,5951.28,0,5951.28,ACH,completed
ORD000187,CUST01113,CAMP0029,2025-01-20,Pro Plan,6,2477.42,14864.52,20,11891.62,PayPal,completed
ORD000188,CUST01396,CAMP0070,2024-05-10,Starter Plan,9,383.57,3452.13,15,2934.31,PayPal,completed
ORD000189,CUST00157,CAMP0003,2026-02-21,Add-on: Analytics,10,1782.54,17825.4,5,16934.13,Invoice,completed
ORD000190,CUST00750,,2025-03-11,Add-on: Analytics,6,99.56,597.36,0,597.36,ACH,completed
ORD000191,CUST00629,,2026-01-09,Professional Services,5,1957.71,9788.55,10,8809.69,Invoice,completed
ORD000192,CUST00874,CAMP0111,2026-01-03,Add-on: Analytics,8,2032.75,16262.0,10,14635.8,ACH,completed
ORD000193,CUST00310,CAMP0094,2024-10-30,Add-on: Analytics,9,1143.12,10288.08,0,10288.08,PayPal,completed
ORD000194,CUST00311,CAMP0046,2026-02-07,Add-on: Analytics,7,488.57,3419.99,0,3419.99,ACH,completed
ORD000195,CUST01076,,2025-04-25,Starter Plan,1,1405.78,1405.78,0,1405.78,Credit Card,completed
ORD000196,CUST00265,,2024-07-12,Starter Plan,7,2807.87,19655.09,0,19655.09,PayPal,refunded
ORD000197,CUST00680,CAMP0047,2024-06-26,Growth Plan,7,180.26,1261.82,0,1261.82,Credit Card,completed
ORD000198,CUST01241,CAMP0092,2026-02-12,Pro Plan,8,1110.05,8880.4,5,8436.38,Invoice,completed
ORD000199,CUST00398,CAMP0089,2026-02-13,Starter Plan,9,2867.65,25808.85,0,25808.85,Invoice,completed
ORD000200,CUST00271,CAMP0091,2025-11-28,Add-on: API,3,2699.47,8098.41,20,6478.73,Invoice,completed
ORD000201,CUST01098,CAMP0054,2024-06-07,Pro Plan,6,2930.23,17581.38,15,14944.17,Invoice,completed
ORD000202,CUST00703,CAMP0099,2025-08-31,Pro Plan,9,1074.78,9673.02,0,9673.02,PayPal,completed
ORD000203,CUST00732,CAMP0013,2025-06-11,Add-on: API,1,2302.9,2302.9,0,2302.9,PayPal,completed
ORD000204,CUST00783,CAMP0027,2025-07-30,Add-on: API,6,467.78,2806.68,10,2526.01,PayPal,completed
ORD000205,CUST01080,CAMP0027,2025-05-05,Enterprise Plan,10,352.32,3523.2,10,3170.88,Credit Card,completed
ORD000206,CUST00814,,2025-03-22,Enterprise Plan,10,1970.93,19709.3,0,19709.3,PayPal,completed
ORD000207,CUST01230,CAMP0041,2026-02-28,Growth Plan,2,1722.07,3444.14,10,3099.73,PayPal,completed
ORD000208,CUST01034,CAMP0083,2025-06-23,Professional Services,5,2625.62,13128.1,0,13128.1,ACH,completed
ORD000209,CUST00215,CAMP0030,2025-01-22,Pro Plan,7,826.11,5782.77,0,5782.77,Credit Card,completed
ORD000210,CUST00929,,2025-05-13,Enterprise Plan,8,2051.36,16410.88,0,16410.88,Invoice,completed
ORD000211,CUST00588,CAMP0080,2025-02-16,Pro Plan,2,2182.32,4364.64,5,4146.41,PayPal,pending
ORD000212,CUST00283,,2025-06-21,Enterprise Plan,4,2412.21,9648.84,0,9648.84,Invoice,completed
ORD000213,CUST00985,CAMP0085,2026-01-20,Add-on: API,6,2507.41,15044.46,0,15044.46,Invoice,completed
ORD000214,CUST01011,,2026-01-26,Add-on: Analytics,1,468.95,468.95,10,422.06,Credit Card,refunded
ORD000215,CUST01127,,2025-08-26,Professional Services,9,2769.03,24921.27,20,19937.02,ACH,completed
ORD000216,CUST00918,CAMP0007,2026-04-11,Growth Plan,2,649.69,1299.38,0,1299.38,Invoice,completed
ORD000217,CUST01300,,2025-09-09,Professional Services,5,1289.44,6447.2,15,5480.12,ACH,completed
ORD000218,CUST00577,CAMP0001,2025-07-23,Enterprise Plan,9,2099.86,18898.74,15,16063.93,PayPal,refunded
ORD000219,CUST01390,CAMP0022,2025-08-25,Enterprise Plan,7,2815.3,19707.1,5,18721.74,PayPal,completed
ORD000220,CUST00520,,2024-09-08,Starter Plan,1,1206.94,1206.94,20,965.55,Invoice,completed
ORD000221,CUST00135,CAMP0035,2025-12-21,Professional Services,4,1833.35,7333.4,20,5866.72,PayPal,completed
ORD000222,CUST00829,CAMP0118,2024-10-28,Growth Plan,2,674.07,1348.14,20,1078.51,Credit Card,completed
ORD000223,CUST00266,CAMP0060,2024-07-02,Pro Plan,1,1670.5,1670.5,10,1503.45,ACH,completed
ORD000224,CUST01480,CAMP0120,2025-08-11,Growth Plan,4,2784.41,11137.64,0,11137.64,Credit Card,completed
ORD000225,CUST01328,CAMP0117,2024-07-24,Add-on: API,2,1270.52,2541.04,0,2541.04,ACH,completed
ORD000226,CUST00880,CAMP0082,2024-09-21,Enterprise Plan,9,1417.84,12760.56,0,12760.56,Invoice,completed
ORD000227,CUST00025,,2026-01-02,Growth Plan,4,2588.91,10355.64,20,8284.51,Invoice,completed
ORD000228,CUST00051,CAMP0101,2025-09-04,Professional Services,6,2359.72,14158.32,15,12034.57,Invoice,completed
ORD000229,CUST01478,CAMP0051,2026-04-06,Professional Services,2,425.93,851.86,10,766.67,ACH,completed
ORD000230,CUST00693,CAMP0064,2026-03-21,Starter Plan,6,2427.79,14566.74,0,14566.74,Credit Card,completed
ORD000231,CUST01071,,2026-03-09,Growth Plan,9,1751.01,15759.09,15,13395.23,PayPal,completed
ORD000232,CUST01117,CAMP0083,2025-05-19,Growth Plan,5,1288.12,6440.6,10,5796.54,Credit Card,pending
ORD000233,CUST01281,CAMP0055,2024-11-19,Growth Plan,5,823.75,4118.75,5,3912.81,Invoice,completed
ORD000234,CUST00120,,2024-05-13,Pro Plan,9,2658.83,23929.47,0,23929.47,Invoice,completed
ORD000235,CUST00126,CAMP0006,2025-08-05,Enterprise Plan,4,2862.45,11449.8,5,10877.31,PayPal,completed
ORD000236,CUST00995,CAMP0031,2024-04-22,Add-on: API,4,1444.96,5779.84,5,5490.85,ACH,completed
ORD000237,CUST01256,,2025-05-28,Add-on: Analytics,1,1706.67,1706.67,10,1536.0,Invoice,completed
ORD000238,CUST01150,,2025-11-27,Enterprise Plan,2,2294.9,4589.8,0,4589.8,ACH,completed
ORD000239,CUST01486,CAMP0093,2025-10-20,Starter Plan,6,547.32,3283.92,5,3119.72,Invoice,completed
